	OS_CFG_DBG	OS_CFG_TESTS_ENABLE	OS_CFG_PROFILE	OS_CFG_MAIN_LOOP_TIMEOUT	OS_CFG_FBCAN1_ENABLE	OS_CFG_FBCAN2_ENABLE	OS_CFG_FBCAN3_ENABLE	OS_CFG_SSSP_ENABLE	OS_CFG_SSSP_STARTUP	OS_CFG_SSSP_SHUTDOWN	OS_CFG_SSSP_MSI	OS_CFG_SSSP_MODULEIDWIDTH	OS_CFG_SSSP_MASTER	OS_CFG_SSSP_STACK_START	OS_CFG_SSSP_STACK_END	OS_CFG_SSSP_SIGNALDELAY	OS_CFG_SSSP_SYSSYNCPERIOD	OS_CFG_SHELL_ENABLE	OS_CFG_SHELL_STACKSIZE	OS_CFG_SHELL_THREADPRIO	OS_CFG_SHELL_LINEWIDTH	OS_CFG_SHELL_MAXARGS	OS_CFG_SHELL_HISTLENGTH	OS_CFG_SHELL_REMOTE_ENABLE
37	false	true	false	0	true	true	false	False	False	False	False	16	False	False	False	1000	1000000	True	1024	AOS_THD_NORMALPRIO_MIN	64	8	3	False
38	true	false	false	0	true	true	false	False	False	False	False	16	False	False	False	1000	1000000	True	1024	AOS_THD_NORMALPRIO_MIN	64	8	3	False
39	false	false	false	0	true	true	false	False	False	False	False	16	False	False	False	1000	1000000	True	1024	AOS_THD_NORMALPRIO_MIN	64	8	3	False
40	true	true	true	0	false	true	false	False	False	False	False	16	False	False	False	1000	1000000	True	1024	AOS_THD_NORMALPRIO_MIN	64	8	3	False
41	false	true	true	0	false	true	false	False	False	False	False	16	False	False	False	1000	1000000	True	1024	AOS_THD_NORMALPRIO_MIN	64	8	3	False
42	true	false	true	0	false	true	false	False	False	False	False	16	False	False	False	1000	1000000	True	1024	AOS_THD_NORMALPRIO_MIN	64	8	3	False
43	false	false	true	0	false	true	false	False	False	False	False	16	False	False	False	1000	1000000	True	1024	AOS_THD_NORMALPRIO_MIN	64	8	3	False
44	true	true	false	0	false	true	false	False	False	False	False	16	False	False	False	1000	1000000	True	1024	AOS_THD_NORMALPRIO_MIN	64	8	3	False
45	false	true	false	0	false	true	false	False	False	False	False	16	False	False	False	1000	1000000	True	1024	AOS_THD_NORMALPRIO_MIN	64	8	3	False
46	true	false	false	0	false	true	false	False	False	False	False	16	False	False	False	1000	1000000	True	1024	AOS_THD_NORMALPRIO_MIN	64	8	3	False
47	false	false	false	0	false	true	false	False	False	False	False	16	False	False	False	1000	1000000	True	1024	AOS_THD_NORMALPRIO_MIN	64	8	3	False
48	true	true	true	0	true	false	false	False	False	False	False	16	False	False	False	1000	1000000	True	1024	AOS_THD_NORMALPRIO_MIN	64	8	3	False
49	false	true	true	0	true	false	false	False	False	False	False	16	False	False	False	1000	1000000	True	1024	AOS_THD_NORMALPRIO_MIN	64	8	3	False
50	true	false	true	0	true	false	false	False	False	False	False	16	False	False	False	1000	1000000	True	1024	AOS_THD_NORMALPRIO_MIN	64	8	3	False
51	false	false	true	0	true	false	false	False	False	False	False	16	False	False	False	1000	1000000	True	1024	AOS_THD_NORMALPRIO_MIN	64	8	3	False
52	true	true	false	0	true	false	false	False	False	False	False	16	False	False	False	1000	1000000	True	1024	AOS_THD_NORMALPRIO_MIN	64	8	3	False
53	false	true	false	0	true	false	false	False	False	False	False	16	False	False	False	1000	1000000	True	1024	AOS_THD_NORMALPRIO_MIN	64	8	3	False
54	true	false	false	0	true	false	false	False	False	False	False	16	False	False	False	1000	1000000	True	1024	AOS_THD_NORMALPRIO_MIN	64	8	3	False
55	false	false	false	0	true	false	false	False	False	False	False	16	False	False	False	1000	1000000	True	1024	AOS_THD_NORMALPRIO_MIN	64	8	3	False
56	true	true	true	0	false	false	false	False	False	False	False	16	False	False	False	1000	1000000	True	1024	AOS_THD_NORMALPRIO_MIN	64	8	3	False
57	false	true	true	0	false	false	false	False	False	False	False	16	False	False	False	1000	1000000	True	1024	AOS_THD_NORMALPRIO_MIN	64	8	3	False
58	true	false	true	0	false	false	false	False	False	False	False	16	False	False	False	1000	1000000	True	1024	AOS_THD_NORMALPRIO_MIN	64	8	3	False
59	false	false	true	0	false	false	false	False	False	False	False	16	False	False	False	1000	1000000	True	1024	AOS_THD_NORMALPRIO_MIN	64	8	3	False
60	true	true	false	0	false	false	false	False	False	False	False	16	False	False	False	1000	1000000	True	1024	AOS_THD_NORMALPRIO_MIN	64	8	3	False
61	false	true	false	0	false	false	false	False	False	False	False	16	False	False	False	1000	1000000	True	1024	AOS_THD_NORMALPRIO_MIN	64	8	3	False
62	true	false	false	0	false	false	false	False	False	False	False	16	False	False	False	1000	1000000	True	1024	AOS_THD_NORMALPRIO_MIN	64	8	3	False
63	false	false	false	0	false	false	false	False	False	False	False	16	False	False	False	1000	1000000	True	1024	AOS_THD_NORMALPRIO_MIN	64	8	3	False
